,title,url,clean_title
336,"Deer-Hunter,-The","https://www.imsdb.com/scripts/Deer-Hunter,-The.html","Deer Hunter, The"
337,Defiance,https://www.imsdb.com/scripts/Defiance.html,Defiance
338,"Departed,-The","https://www.imsdb.com/scripts/Departed,-The.html","Departed, The"
339,"Descendants,-The","https://www.imsdb.com/scripts/Descendants,-The.html","Descendants, The"
340,Despicable-Me-2,https://www.imsdb.com/scripts/Despicable-Me-2.html,Despicable Me 2
341,Detroit-Rock-City,https://www.imsdb.com/scripts/Detroit-Rock-City.html,Detroit Rock City
342,Devil-in-a-Blue-Dress,https://www.imsdb.com/scripts/Devil-in-a-Blue-Dress.html,Devil in a Blue Dress
343,"Devil-Wears-Prada,-The","https://www.imsdb.com/scripts/Devil-Wears-Prada,-The.html","Devil Wears Prada, The"
344,Devil's-Advocate,https://www.imsdb.com/scripts/Devil's-Advocate.html,Devil's Advocate
345,Die-Hard,https://www.imsdb.com/scripts/Die-Hard.html,Die Hard
346,Die-Hard-2,https://www.imsdb.com/scripts/Die-Hard-2.html,Die Hard 2
347,Diner,https://www.imsdb.com/scripts/Diner.html,Diner
348,"Distinguished-Gentleman,-The","https://www.imsdb.com/scripts/Distinguished-Gentleman,-The.html","Distinguished Gentleman, The"
